class,precision,recall,f1,support
airplane,0.8460721868365181,0.797,0.8208032955715757,1000
automobile,0.8796561604584527,0.921,0.8998534440644846,1000
bird,0.7953431372549019,0.649,0.7147577092511013,1000
cat,0.74375,0.595,0.6611111111111111,1000
deer,0.801605504587156,0.699,0.7467948717948718,1000
dog,0.8322056833558863,0.615,0.7073030477285797,1000
frog,0.5953429830081812,0.946,0.7307840865198918,1000
horse,0.8637295081967213,0.843,0.8532388663967612,1000
ship,0.8640873015873016,0.871,0.8675298804780877,1000
truck,0.7621800165152767,0.923,0.8349163274536409,1000
