class,precision,recall,f1,support
airplane,0.8190757128810227,0.833,0.8259791769955379,1000
automobile,0.8930936613055819,0.944,0.9178415167719981,1000
bird,0.762396694214876,0.738,0.75,1000
cat,0.6914344685242518,0.67,0.6805485017775521,1000
deer,0.8190899001109878,0.738,0.7764334560757497,1000
dog,0.8401639344262295,0.615,0.710161662817552,1000
frog,0.6951951951951952,0.926,0.7941680960548885,1000
horse,0.8376494023904383,0.841,0.8393213572854291,1000
ship,0.9403824521934758,0.836,0.8851244044467973,1000
truck,0.8090185676392573,0.915,0.8587517597372126,1000
