class,precision,recall,f1,support
airplane,0.8611955420466059,0.85,0.8555611474584801,1000
automobile,0.8781869688385269,0.93,0.9033511413307431,1000
bird,0.8908045977011494,0.775,0.8288770053475936,1000
cat,0.7647058823529411,0.702,0.7320125130344108,1000
deer,0.861397479954181,0.752,0.802989855846236,1000
dog,0.8213552361396304,0.8,0.8105369807497467,1000
frog,0.7988013698630136,0.933,0.8607011070110702,1000
horse,0.8200913242009132,0.898,0.8572792362768497,1000
ship,0.9078295341922695,0.916,0.9118964659034345,1000
truck,0.8548233046800382,0.895,0.8744504152418173,1000
