class,precision,recall,f1,support
airplane,0.6041666666666666,0.7837837837837838,0.6823529411764706,37
automobile,0.9038461538461539,0.8545454545454545,0.8785046728971962,55
bird,0.6935483870967742,0.6323529411764706,0.6615384615384615,68
cat,0.7894736842105263,0.5769230769230769,0.6666666666666666,78
deer,0.6756756756756757,0.7352941176470589,0.704225352112676,68
dog,0.7428571428571429,0.49056603773584906,0.5909090909090909,53
frog,0.5714285714285714,0.8205128205128205,0.6736842105263158,78
horse,0.7727272727272727,0.6181818181818182,0.6868686868686869,55
ship,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
truck,0.7941176470588235,0.9310344827586207,0.8571428571428571,29
