class,precision,recall,f1,support
airplane,0.5918367346938775,0.7837837837837838,0.6744186046511628,37
automobile,0.9019607843137255,0.8363636363636363,0.8679245283018868,55
bird,0.5972222222222222,0.6323529411764706,0.6142857142857143,68
cat,0.7936507936507936,0.6410256410256411,0.7092198581560284,78
deer,0.7142857142857143,0.7352941176470589,0.7246376811594203,68
dog,0.7435897435897436,0.5471698113207547,0.6304347826086957,53
frog,0.6923076923076923,0.6923076923076923,0.6923076923076923,78
horse,0.8113207547169812,0.7818181818181819,0.7962962962962963,55
ship,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
truck,0.627906976744186,0.9310344827586207,0.75,29
