class,precision,recall,f1,support
airplane,0.4925373134328358,0.8918918918918919,0.6346153846153846,37
automobile,0.9423076923076923,0.8909090909090909,0.9158878504672897,55
bird,0.75,0.5735294117647058,0.65,68
cat,0.765625,0.6282051282051282,0.6901408450704225,78
deer,0.875,0.7205882352941176,0.7903225806451613,68
dog,0.625,0.5660377358490566,0.594059405940594,53
frog,0.8028169014084507,0.7307692307692307,0.7651006711409396,78
horse,0.6461538461538462,0.7636363636363637,0.7,55
ship,0.6285714285714286,0.8461538461538461,0.7213114754098361,26
truck,0.7567567567567568,0.9655172413793104,0.8484848484848485,29
